#sjh_ID, date, SOL_event, duration, basepoint_X, std_X, basepoint_Y, std_Y, basepoint_X_longitude, basepoint_Y_latitude, max_height, upper_H, lower_H, avg_width, std_width, velocity, sigma, flag
sjh_2011-05-28T07_3,2011-05-28T07:37:56.000000,SOL2011-05-28T00:00:02L027C078,5.6,-731.342,0.0,254.862,0.0,-52.0,14.0,46.68679643111103,18.16933426467006,-13.079226296776904,21.846186852629454,0.0,nan,0.4818135190337481,110
sjh_2011-05-28T07_4,2011-05-28T07:43:08.000000,SOL2011-05-28T00:00:02L027C078,5.6,-912.163,0.0,270.256,0.0,-89.0,16.0,203.23482678911114,58.73957700050214,-45.56906165134293,64.19143439743344,0.0,nan,0.3981634737705648,110
sjh_2011-05-28T08_1,2011-05-28T08:14:20.000000,SOL2011-05-28T00:00:02L027C078,5.6,-919.519,0.0,248.33,0.0,-89.0,15.0,74.5153181634488,34.34104692666659,-23.507436020742595,25.09563818674471,0.0,nan,0.5314203069294114,110
sjh_2011-05-28T08_2,2011-05-28T08:40:20.000000,SOL2011-05-28T00:00:02L027C078,16.0,-916.178,2.6047849559352234,263.0693333333333,3.259748490638845,-89.0,16.0,123.57072195710437,28.63847822635971,-23.25008886400126,42.64005580032612,9.803578496909928,0.39606000627277044,0.40534164467443956,000
sjh_2011-05-28T09_1,2011-05-28T09:06:20.000000,SOL2011-05-28T00:00:02L027C078,73.2,-916.9260714285714,2.482345764573891,259.6089999999999,3.7466585303250044,-89.0,15.0,229.6388992418314,87.77456246168484,-63.502202449000265,52.19057191691055,19.9959082435829,0.06691110117768981,0.4811163418844893,000
sjh_2011-05-28T09_2,2011-05-28T09:06:20.000000,SOL2011-05-28T00:00:02L027C078,5.6,-925.127,0.0,226.36,0.0,-89.0,13.0,20.614942638775315,4.914962516139106,-3.9687444871855786,12.836634216179851,0.0,nan,0.34797258154382926,110
sjh_2011-05-28T09_3,2011-05-28T09:16:44.000000,SOL2011-05-28T00:00:02L027C078,5.6,-901.287,0.0,303.884,0.0,-89.0,18.0,40.523667516650086,14.668456171199068,-10.770008492988953,15.6240119367594,0.0,nan,0.4609075165880679,110
sjh_2011-05-28T10_1,2011-05-28T10:13:56.000000,SOL2011-05-28T00:00:02L027C078,5.6,-905.806,0.0,289.854,0.0,-89.0,17.0,44.85601873773462,20.003288482020082,-13.834065170102823,21.207009430846202,0.0,nan,0.5217039019161277,110
sjh_2011-05-28T10_2,2011-05-28T10:29:32.000000,SOL2011-05-28T00:00:02L027C078,5.6,-900.529,0.0,302.036,0.0,-89.0,18.0,29.609864724446105,8.808321912083038,-6.788795700684251,15.605851851148664,0.0,nan,0.4059826602522953,110
sjh_2011-05-28T10_3,2011-05-28T10:45:08.000000,SOL2011-05-28T00:00:02L027C078,5.6,-917.388,0.0,258.947,0.0,-89.0,15.0,77.73303334490433,37.87015230488894,-25.46436584204809,61.66702634309525,0.0,nan,0.5478613568556991,110
sjh_2011-05-29T08_1,2011-05-29T08:01:20.000000,SOL2011-05-29T07:30:02L165C104,10.8,833.1655000000001,0.36650000000003047,-222.96699999999998,0.6360000000000099,64.0,-14.0,58.98890801667719,19.813717347432693,-14.83186054621559,14.377755939305654,2.107475420914956,0.18906701287396535,0.4876230828460437,000
